Product Name,Location,,Number of Cows,,,Daily (demand)Date,Quantity Sold (liters/kg),Customer Location,weekly demand data date,Product ID,,,Brand,Quantity in Stock (liters/kg),Minimum Stock Threshold (liters/kg),Quantity available  (liters/kg),,Total Value of available quantity ,,,,,,,Approx. Total Revenue(INR),,Sales Channel,,Price per Unit,Total Value of available quantity ,,,,,,Price per Unit (sold),
Ice Cream,Telangana,,83,,,06-01-2019,404,Jharkhand,7527,5,,,Dodla Dairy,17,47.9,421,,30930.87,,,,,,,30150.52,,Online,,73.47,30930.87,,,,,,74.63,
Milk,Haryana,,91,,,06-01-2019,41,Haryana,7527,1,,,Sudha,461,96.67,502.03,,9468.29,,,,,,,824.1,,Retail,,18.86,9468.29,,,,,,20.1,
Buttermilk,Bihar,,42,,,06-01-2019,111,West Bengal,7527,8,,,Amul,41,61.36,152.8,,9400.26,,,,,,,6411.36,,Wholesale,,61.52,9400.26,,,,,,57.76,
Curd,Telangana,,51,,mon,07-01-2019,74,Gujarat,7377,6,,,Raj,519,55.6,593.92,,50803.92,,,,,,,6271.5,,Retail,,85.54,50803.92,,,,,,84.75,
Butter,Delhi,,32,,,07-01-2019,22,Uttar Pradesh,7377,2,,,Amul,8,27.1,30.69,,2755.96,,,,,,,2029.06,,Retail,,89.8,2755.96,,,,,,92.23,
Lassi,Haryana,,91,,,07-01-2019,2,Karnataka,7377,7,,,Amul,87,11.95,89.39,,5073.78,,,,,,,109.56,,Wholesale,,56.76,5073.78,,,,,,54.78,
Lassi,Chandigarh,,54,,,07-01-2019,679,Tamil Nadu,7377,7,,,Raj,22,97.04,701.6,,18585.38,,,,,,,18081.77,,Retail,,26.49,18585.38,,,,,,26.63,
Butter,Maharashtra,,54,,,07-01-2019,776,Delhi,7377,2,,,Warana,45,62.18,821.77,,35574.42,,,,,,,37185.92,,Wholesale,,43.29,35574.42,,,,,,47.92,
Lassi,Telangana,,98,,,07-01-2019,122,Rajasthan,7377,7,,,Mother Dairy,664,79.12,786.8,,18300.97,,,,,,,2704.74,,Wholesale,,23.26,18300.97,,,,,,22.17,
Lassi,Delhi,,78,,,07-01-2019,501,Madhya Pradesh,7377,7,,,Amul,343,97.48,844.86,,61548.05,,,,,,,34408.68,,Retail,,72.85,61548.05,,,,,,68.68,
Yogurt,West Bengal,,85,,,07-01-2019,2,West Bengal,7377,4,,,Palle2patnam,25,25.05,27.43,,2335.12,,,,,,,166.38,,Retail,,85.13,2335.12,,,,,,83.19,
Paneer,Chandigarh,,89,,,08-01-2019,309,Telangana,5773,9,,,Sudha,96,52.34,405.07,,14238.21,,,,,,,11538.06,,Retail,,35.15,14238.21,,,,,,37.34,
Cheese,Gujarat,,45,,,08-01-2019,605,Telangana,5773,3,,,Passion Cheese,342,13.21,947.55,,40668.85,,,,,,,25464.45,,Wholesale,,42.92,40668.85,,,,,,42.09,
Paneer,Karnataka,,37,,,09-01-2019,779,Kerala,5953,9,,,Mother Dairy,190,32.08,969.09,,59443.98,,,,,,,46856.85,,Wholesale,,61.34,59443.98,,,,,,60.15,
Buttermilk,Haryana,,12,,,09-01-2019,394,Uttar Pradesh,5953,8,,,Sudha,268,21.42,662.05,,13108.59,,,,,,,6497.06,,Online,,19.8,13108.59,,,,,,16.49,
Curd,Tamil Nadu,,93,,,09-01-2019,295,Jharkhand,5953,6,,,Raj,280,25.34,575.27,,52930.59,,,,,,,27582.5,,Online,,92.01,52930.59,,,,,,93.5,
Butter,West Bengal,,46,,,09-01-2019,446,Jharkhand,5953,2,,,Warana,151,35.82,597.69,,53648.65,,,,,,,39395.18,,Wholesale,,89.76,53648.65,,,,,,88.33,
Ice Cream,Kerala,,66,,,09-01-2019,204,Jharkhand,5953,5,,,Amul,200,98.15,404.48,,26473.22,,,,,,,12501.12,,Wholesale,,65.45,26473.22,,,,,,61.28,
Buttermilk,Jharkhand,,39,,,09-01-2019,12,Madhya Pradesh,5953,8,,,Sudha,10,28.96,22.91,,717.31,,,,,,,414,,Retail,,31.31,717.31,,,,,,34.5,
Milk,Haryana,,33,,,11-01-2019,668,Chandigarh,4718,1,,,Amul,174,40.56,842.01,,40980.63,,,,,,,31556.32,,Retail,,48.67,40980.63,,,,,,47.24,
Cheese,Haryana,,35,,,11-01-2019,125,Delhi,4718,3,,,Amul,322,98.8,447.35,,15523.05,,,,,,,4088.75,,Online,,34.7,15523.05,,,,,,32.71,
Butter,Delhi,,59,,,11-01-2019,192,Bihar,4718,2,,,Warana,222,11.16,414.67,,11150.48,,,,,,,5347.2,,Retail,,26.89,11150.48,,,,,,27.85,
Yogurt,Chandigarh,,41,,,11-01-2019,325,Chandigarh,4718,4,,,Amul,507,59.4,832.48,,71959.57,,,,,,,26689,,Retail,,86.44,71959.57,,,,,,82.12,
Yogurt,West Bengal,,18,,,11-01-2019,1,West Bengal,4718,4,,,Palle2patnam,21,32.34,22.08,,436.96,,,,,,,20.45,,Wholesale,,19.79,436.96,,,,,,20.45,
Lassi,Tamil Nadu,,13,,,11-01-2019,339,Delhi,4718,7,,,Raj,7,57.97,346.67,,32195.24,,,,,,,30130.32,,Wholesale,,92.87,32195.24,,,,,,88.88,
Cheese,Haryana,,73,,,12-01-2019,99,Gujarat,4001,3,,,Passion Cheese,38,53.04,137.95,,8944.68,,,,,,,6139.98,,Online,,64.84,8944.68,,,,,,62.02,
Ice Cream,Bihar,,20,,,13-01-2019,2,Karnataka,4613,5,,,Dodla Dairy,638,66.21,640.53,,41833.01,,,,,,,132.52,,Retail,,65.31,41833.01,,,,,,66.26,
Butter,Delhi,,33,,,13-01-2019,404,Haryana,4613,2,,,Warana,594,53.34,998.52,,76356.82,,,,,,,30146.48,,Wholesale,,76.47,76356.82,,,,,,74.62,
Cheese,Chandigarh,,89,,,14-01-2019,167,Bihar,5795,3,,,Amul,81,17.27,248.76,,9430.49,,,,,,,6624.89,,Wholesale,,37.91,9430.49,,,,,,39.67,
Yogurt,Telangana,,89,,,14-01-2019,76,Maharashtra,5795,4,,,Mother Dairy,35,45.83,111.62,,3219.12,,,,,,,2090,,Online,,28.84,3219.12,,,,,,27.5,
Milk,Bihar,,11,,,14-01-2019,331,Madhya Pradesh,5795,1,,,Raj,65,79.47,396.31,,24793.15,,,,,,,22057.84,,Online,,62.56,24793.15,,,,,,66.64,
Lassi,Delhi,,95,,,15-01-2019,8,Bihar,6943,7,,,Mother Dairy,57,25.84,65.25,,3261.19,,,,,,,360.48,,Retail,,49.98,3261.19,,,,,,45.06,
Cheese,Kerala,,96,,,15-01-2019,486,Kerala,6943,3,,,Amul,178,81.76,664.52,,16387.06,,,,,,,13588.56,,Online,,24.66,16387.06,,,,,,27.96,
Butter,Chandigarh,,50,,,15-01-2019,600,Karnataka,6943,2,,,Warana,329,99.53,929.13,,48454.13,,,,,,,31398,,Online,,52.15,48454.13,,,,,,52.33,
Yogurt,Delhi,,67,,,16-01-2019,72,Gujarat,5867,4,,,Palle2patnam,174,54.9,246.86,,16584.05,,,,,,,5123.52,,Wholesale,,67.18,16584.05,,,,,,71.16,
Ghee,Delhi,,77,,,16-01-2019,498,Bihar,5867,10,,,Sudha,315,46.87,813.23,,51737.69,,,,,,,32419.8,,Wholesale,,63.62,51737.69,,,,,,65.1,
Yogurt,Delhi,,38,,,17-01-2019,110,West Bengal,5297,4,,,Amul,95,12.76,205.81,,12078.99,,,,,,,7001.5,,Online,,58.69,12078.99,,,,,,63.65,
Yogurt,Tamil Nadu,,90,,,17-01-2019,52,Bihar,5297,4,,,Palle2patnam,545,32.95,597.28,,27247.91,,,,,,,2152.28,,Wholesale,,45.62,27247.91,,,,,,41.39,
Ghee,Rajasthan,,91,,,17-01-2019,163,Gujarat,5297,10,,,Amul,359,57.03,522.88,,14128.22,,,,,,,4832.95,,Retail,,27.02,14128.22,,,,,,29.65,
Milk,Uttar Pradesh,,11,,,18-01-2019,9,Gujarat,5389,1,,,Sudha,752,37.43,761.45,,37524.26,,,,,,,427.23,,Online,,49.28,37524.26,,,,,,47.47,
Milk,Uttar Pradesh,,33,,,18-01-2019,353,Delhi,5389,1,,,Amul,58,56.47,411.82,,37137.93,,,,,,,32137.12,,Wholesale,,90.18,37137.93,,,,,,91.04,
Lassi,Chandigarh,,57,,,18-01-2019,10,Maharashtra,5389,7,,,Amul,24,75.41,34.61,,1478.54,,,,,,,408.5,,Retail,,42.72,1478.54,,,,,,40.85,
Paneer,Madhya Pradesh,,12,,,18-01-2019,299,Delhi,5389,9,,,Sudha,75,13.3,374.46,,14173.31,,,,,,,12578.93,,Retail,,37.85,14173.31,,,,,,42.07,
Ice Cream,Tamil Nadu,,50,,,18-01-2019,176,Rajasthan,5389,5,,,Palle2patnam,345,99.92,521.36,,45186.27,,,,,,,14398.56,,Wholesale,,86.67,45186.27,,,,,,81.81,
Buttermilk,Rajasthan,,70,,,18-01-2019,86,Tamil Nadu,5389,8,,,Mother Dairy,31,62.58,117.03,,3908.80,,,,,,,2815.64,,Online,,33.4,3908.80,,,,,,32.74,
Butter,Kerala,,51,,,19-01-2019,409,Uttar Pradesh,5546,2,,,Warana,545,66.93,954.95,,32286.86,,,,,,,13623.79,,Wholesale,,33.81,32286.86,,,,,,33.31,
Buttermilk,Haryana,,97,,,19-01-2019,302,Delhi,5546,8,,,Raj,201,29.51,503.23,,15590.07,,,,,,,10497.52,,Retail,,30.98,15590.07,,,,,,34.76,
Butter,Delhi,,26,,,20-01-2019,197,Bihar,7009,2,,,Parag Milk Foods,13,91.66,210.36,,16849.84,,,,,,,16354.94,,Retail,,80.1,16849.84,,,,,,83.02,
Ghee,Telangana,,20,,,20-01-2019,144,Tamil Nadu,7009,10,,,Mother Dairy,384,67.1,528.65,,43333.44,,,,,,,11689.92,,Online,,81.97,43333.44,,,,,,81.18,
Ice Cream,Gujarat,,90,,,20-01-2019,59,Bihar,7009,5,,,Palle2patnam,258,44.6,317.45,,13456.71,,,,,,,2549.98,,Retail,,42.39,13456.71,,,,,,43.22,
Yogurt,Uttar Pradesh,,71,,,20-01-2019,225,Maharashtra,7009,4,,,Palle2patnam,12,57.07,237.8,,17903.96,,,,,,,17115.75,,Online,,75.29,17903.96,,,,,,76.07,
Cheese,Telangana,,57,,,20-01-2019,546,Delhi,7009,3,,,Passion Cheese,440,66.69,986.74,,58533.42,,,,,,,31061.94,,Online,,59.32,58533.42,,,,,,56.89,
Milk,Rajasthan,,58,,,20-01-2019,417,Madhya Pradesh,7009,1,,,Mother Dairy,403,22.34,820.5,,40458.86,,,,,,,18577.35,,Online,,49.31,40458.86,,,,,,44.55,
Yogurt,Madhya Pradesh,,36,,,21-01-2019,928,Chandigarh,6269,4,,,Mother Dairy,20,14.23,948.26,,10620.51,,,,,,,9010.88,,Wholesale,,11.2,10620.51,,,,,,9.71,
Paneer,Uttar Pradesh,,45,,,21-01-2019,78,Delhi,6269,9,,,Amul,344,56.39,422.02,,5135.98,,,,,,,778.44,,Wholesale,,12.17,5135.98,,,,,,9.98,
Ghee,Delhi,,11,,,21-01-2019,45,West Bengal,6269,10,,,Raj,106,68.73,151.6,,4793.59,,,,,,,1338.3,,Wholesale,,31.62,4793.59,,,,,,29.74,
Yogurt,Maharashtra,,54,,,21-01-2019,243,West Bengal,6269,4,,,Amul,200,11.63,443.71,,19909.27,,,,,,,10490.31,,Wholesale,,44.87,19909.27,,,,,,43.17,
Curd,Karnataka,,15,,,21-01-2019,72,Kerala,6269,6,,,Raj,13,95.81,85.88,,2530.02,,,,,,,1972.8,,Retail,,29.46,2530.02,,,,,,27.4,
Milk,Tamil Nadu,,66,,,21-01-2019,292,Gujarat,6269,1,,,Raj,26,95.38,318.29,,15812.65,,,,,,,15081.8,,Wholesale,,49.68,15812.65,,,,,,51.65,
Ice Cream,Jharkhand,,88,,,21-01-2019,64,Jharkhand,6269,5,,,Dodla Dairy,251,11.99,315.74,,13235.82,,,,,,,2449.92,,Wholesale,,41.92,13235.82,,,,,,38.28,
Milk,Uttar Pradesh,,18,,,22-01-2019,18,Haryana,5694,1,,,Mother Dairy,350,38.34,368.44,,14207.05,,,,,,,774,,Online,,38.56,14207.05,,,,,,43,
Milk,Haryana,,49,,,24-01-2019,30,Karnataka,5676,1,,,Raj,34,64.93,64.26,,4546.40,,,,,,,2124.9,,Retail,,70.75,4546.40,,,,,,70.83,
Ghee,Kerala,,12,,,24-01-2019,387,Kerala,5676,10,,,Mother Dairy,134,35.02,521.22,,42333.49,,,,,,,33347.79,,Retail,,81.22,42333.49,,,,,,86.17,
Butter,Jharkhand,,81,,,25-01-2019,312,Chandigarh,5259,2,,,Mother Dairy,410,47.62,722.89,,43677.01,,,,,,,17553.12,,Wholesale,,60.42,43677.01,,,,,,56.26,
Ghee,Kerala,,32,,,25-01-2019,174,Rajasthan,5259,10,,,Raj,97,32.5,271.14,,23393.96,,,,,,,15686.1,,Online,,86.28,23393.96,,,,,,90.15,
Paneer,West Bengal,,42,,,25-01-2019,490,West Bengal,5259,9,,,Amul,481,21.88,971.72,,52774.11,,,,,,,26538.4,,Wholesale,,54.31,52774.11,,,,,,54.16,
Paneer,Bihar,,12,,,25-01-2019,114,Uttar Pradesh,5259,9,,,Mother Dairy,100,91.03,214.84,,20268.01,,,,,,,10428.72,,Retail,,94.34,20268.01,,,,,,91.48,
Milk,Chandigarh,,23,,,26-01-2019,84,Rajasthan,5346,1,,,Mother Dairy,2,32.22,86.33,,4222.40,,,,,,,3793.44,,Online,,48.91,4222.40,,,,,,45.16,
Paneer,Delhi,,52,,,26-01-2019,8,Bihar,5346,9,,,Mother Dairy,217,84,225.19,,2425.30,,,,,,,55.6,,Online,,10.77,2425.30,,,,,,6.95,
Milk,Tamil Nadu,,37,,,26-01-2019,611,Maharashtra,5346,1,,,Mother Dairy,253,64.99,864.53,,47791.22,,,,,,,35639.63,,Online,,55.28,47791.22,,,,,,58.33,
Cheese,Telangana,,52,,,26-01-2019,287,Maharashtra,5346,3,,,Passion Cheese,72,41.1,359.3,,30637.51,,,,,,,25769.73,,Wholesale,,85.27,30637.51,,,,,,89.79,
Paneer,Rajasthan,,64,,,26-01-2019,808,Bihar,5346,9,,,Mother Dairy,134,48.85,942.65,,12688.07,,,,,,,8403.2,,Wholesale,,13.46,12688.07,,,,,,10.4,
Paneer,Chandigarh,,76,,,26-01-2019,376,West Bengal,5346,9,,,Mother Dairy,116,68.53,492.42,,11758.99,,,,,,,7362.08,,Wholesale,,23.88,11758.99,,,,,,19.58,
Ghee,Uttar Pradesh,,20,,,27-01-2019,726,Uttar Pradesh,4138,10,,,Sudha,66,63.91,792.59,,47206.66,,,,,,,43937.52,,Retail,,59.56,47206.66,,,,,,60.52,
Curd,Bihar,,80,,,27-01-2019,105,Bihar,4138,6,,,Mother Dairy,758,91.52,863.98,,13624.96,,,,,,,1665.3,,Retail,,15.77,13624.96,,,,,,15.86,
Ghee,Kerala,,38,,,27-01-2019,9,Maharashtra,4138,10,,,Raj,447,84.55,456.99,,16620.73,,,,,,,364.77,,Online,,36.37,16620.73,,,,,,40.53,
Lassi,Chandigarh,,60,,,27-01-2019,8,Chandigarh,4138,7,,,Mother Dairy,9,40.42,17.84,,397.12,,,,,,,176,,Online,,22.26,397.12,,,,,,22,
Butter,Haryana,,46,,,28-01-2019,773,Kerala,4120,2,,,Amul,192,34.08,965.9,,74190.78,,,,,,,61855.46,,Wholesale,,76.81,74190.78,,,,,,80.02,
Paneer,Karnataka,,78,,,28-01-2019,71,Chandigarh,4120,9,,,Raj,16,14.03,87.86,,4381.58,,,,,,,3736.73,,Retail,,49.87,4381.58,,,,,,52.63,
Ice Cream,Madhya Pradesh,,68,,,28-01-2019,303,Haryana,4120,5,,,Amul,265,13.86,568.75,,48576.94,,,,,,,26679.15,,Retail,,85.41,48576.94,,,,,,88.05,
Paneer,Delhi,,100,,,01-02-2019,248,Tamil Nadu,5264,9,,,Amul,251,54.35,499.95,,9694.03,,,,,,,4888.08,,Retail,,19.39,9694.03,,,,,,19.71,
Ghee,Delhi,,41,,,01-02-2019,41,Rajasthan,5264,10,,,Amul,418,44.83,459.33,,37123.05,,,,,,,3285.33,,Wholesale,,80.82,37123.05,,,,,,80.13,
Paneer,Uttar Pradesh,,99,,,01-02-2019,277,Chandigarh,5264,9,,,Mother Dairy,66,89.64,343.07,,29195.26,,,,,,,22525.64,,Wholesale,,85.1,29195.26,,,,,,81.32,
Paneer,Rajasthan,,90,,,01-02-2019,192,Kerala,5264,9,,,Raj,330,96.48,522.24,,47623.07,,,,,,,17166.72,,Wholesale,,91.19,47623.07,,,,,,89.41,
Milk,Telangana,,69,,,01-02-2019,419,West Bengal,5264,1,,,Mother Dairy,372,87.37,791.35,,75882.55,,,,,,,41845.53,,Retail,,95.89,75882.55,,,,,,99.87,
Lassi,Jharkhand,,13,,,02-02-2019,13,Karnataka,4544,7,,,Amul,257,87.74,270.82,,7509.84,,,,,,,365.56,,Online,,27.73,7509.84,,,,,,28.12,
Butter,Uttar Pradesh,,21,,,02-02-2019,188,Karnataka,4544,2,,,Amul,656,79.33,844.47,,80545.55,,,,,,,17040.32,,Retail,,95.38,80545.55,,,,,,90.64,
Milk,Tamil Nadu,,67,,,02-02-2019,101,Gujarat,4544,1,,,Mother Dairy,588,74.84,689.35,,14862.39,,,,,,,2259.37,,Online,,21.56,14862.39,,,,,,22.37,
Ice Cream,Gujarat,,95,,,02-02-2019,304,Telangana,4544,5,,,Mother Dairy,487,56.53,791.28,,63887.95,,,,,,,23690.72,,Retail,,80.74,63887.95,,,,,,77.93,
Cheese,Gujarat,,74,,,02-02-2019,360,Bihar,4544,3,,,Passion Cheese,262,24.39,622.13,,33147.09,,,,,,,18489.6,,Wholesale,,53.28,33147.09,,,,,,51.36,
Buttermilk,Telangana,,26,,,03-02-2019,246,Delhi,4214,8,,,Raj,254,81.18,500.55,,34122.49,,,,,,,17224.92,,Retail,,68.17,34122.49,,,,,,70.02,
Ghee,Uttar Pradesh,,69,,,03-02-2019,69,Delhi,4214,10,,,Mother Dairy,539,40.81,608.98,,38262.21,,,,,,,4267.65,,Wholesale,,62.83,38262.21,,,,,,61.85,
Cheese,Chandigarh,,65,,,03-02-2019,35,Jharkhand,4214,3,,,Amul,345,16.06,380.01,,4974.33,,,,,,,491.75,,Online,,13.09,4974.33,,,,,,14.05,
Cheese,Maharashtra,,69,,,03-02-2019,71,Haryana,4214,3,,,Britannia Industries,182,13.56,253.04,,20149.58,,,,,,,5940.57,,Retail,,79.63,20149.58,,,,,,83.67,
Milk,Bihar,,27,,,03-02-2019,409,Madhya Pradesh,4214,1,,,Raj,50,92.41,459.12,,25527.07,,,,,,,21848.78,,Retail,,55.6,25527.07,,,,,,53.42,
Lassi,Haryana,,23,,,04-02-2019,524,Chandigarh,3820,7,,,Amul,259,65.31,783.34,,13786.78,,,,,,,7032.08,,Retail,,17.6,13786.78,,,,,,13.42,
Ghee,Telangana,,94,,,04-02-2019,48,Haryana,3820,10,,,Mother Dairy,431,85.68,479.76,,41504.04,,,,,,,4353.6,,Online,,86.51,41504.04,,,,,,90.7,
Lassi,Tamil Nadu,,40,,,05-02-2019,790,Jharkhand,4368,7,,,Mother Dairy,144,44.9,934.87,,79099.35,,,,,,,64977.5,,Wholesale,,84.61,79099.35,,,,,,82.25,
Curd,Uttar Pradesh,,29,,,05-02-2019,90,Haryana,4368,6,,,Amul,671,57.2,761.33,,46258.41,,,,,,,5537.7,,Online,,60.76,46258.41,,,,,,61.53,
Curd,Gujarat,,58,,,05-02-2019,77,Haryana,4368,6,,,Mother Dairy,507,77.72,584.77,,9560.99,,,,,,,1080.31,,Retail,,16.35,9560.99,,,,,,14.03,
Ghee,Chandigarh,,20,,,05-02-2019,37,Bihar,4368,10,,,Mother Dairy,5,47.35,42.5,,716.55,,,,,,,645.28,,Retail,,16.86,716.55,,,,,,17.44,
Butter,Gujarat,,36,,,06-02-2019,129,Bihar,4101,2,,,Parag Milk Foods,416,67.52,545.42,,37443.08,,,,,,,9440.22,,Retail,,68.65,37443.08,,,,,,73.18,
Lassi,Rajasthan,,53,,,06-02-2019,366,Karnataka,4101,7,,,Mother Dairy,344,81.12,710.79,,19461.43,,,,,,,8860.86,,Online,,27.38,19461.43,,,,,,24.21,
Buttermilk,Haryana,,10,,,07-02-2019,204,Jharkhand,5616,8,,,Raj,225,79.92,429.74,,15324.53,,,,,,,7435.8,,Wholesale,,35.66,15324.53,,,,,,36.45,
Butter,Kerala,,57,,,07-02-2019,26,Karnataka,5616,2,,,Amul,101,82.15,127.67,,2508.72,,,,,,,587.34,,Retail,,19.65,2508.72,,,,,,22.59,
Paneer,Jharkhand,,84,,,08-02-2019,381,Tamil Nadu,6875,9,,,Sudha,378,70.67,759.31,,10197.53,,,,,,,3569.97,,Wholesale,,13.43,10197.53,,,,,,9.37,
Yogurt,Kerala,,95,,,08-02-2019,76,Uttar Pradesh,6875,4,,,Dodla Dairy,560,53.86,636.24,,31722.93,,,,,,,3720.96,,Retail,,49.86,31722.93,,,,,,48.96,
Milk,Gujarat,,93,,,09-02-2019,227,West Bengal,6828,1,,,Amul,199,42.18,426.31,,18003.07,,,,,,,10342.12,,Online,,42.23,18003.07,,,,,,45.56,
Lassi,Uttar Pradesh,,64,,,09-02-2019,137,Rajasthan,6828,7,,,Amul,249,44.46,386.56,,17151.67,,,,,,,6214.32,,Wholesale,,44.37,17151.67,,,,,,45.36,
Lassi,Tamil Nadu,,43,,,09-02-2019,272,Bihar,6828,7,,,Raj,444,75.43,716.24,,8208.11,,,,,,,4332.96,,Retail,,11.46,8208.11,,,,,,15.93,
Ghee,Bihar,,34,,,10-02-2019,348,Telangana,6192,10,,,Mother Dairy,119,60.53,467.21,,39731.54,,,,,,,29538.24,,Wholesale,,85.04,39731.54,,,,,,84.88,
Milk,Gujarat,,68,,,10-02-2019,70,Delhi,6192,1,,,Sudha,779,17.39,849.59,,41043.69,,,,,,,3357.2,,Online,,48.31,41043.69,,,,,,47.96,
Curd,Jharkhand,,98,,,10-02-2019,18,Delhi,6192,6,,,Sudha,114,54.22,132.19,,1766.06,,,,,,,257.4,,Online,,13.36,1766.06,,,,,,14.3,
Ghee,Telangana,,78,,,11-02-2019,22,Delhi,6636,10,,,Sudha,92,30.44,114.7,,8665.59,,,,,,,1643.4,,Wholesale,,75.55,8665.59,,,,,,74.7,
Ice Cream,Uttar Pradesh,,33,,,11-02-2019,114,Maharashtra,6636,5,,,Palle2patnam,549,66.49,663.41,,45609.44,,,,,,,8270.7,,Online,,68.75,45609.44,,,,,,72.55,
Ice Cream,Rajasthan,,88,,,11-02-2019,930,Delhi,6636,5,,,Mother Dairy,32,53.54,962.02,,28658.58,,,,,,,23333.7,,Online,,29.79,28658.58,,,,,,25.09,
Milk,Karnataka,,93,,,11-02-2019,54,Kerala,6636,1,,,Amul,112,32.81,166.93,,12578.18,,,,,,,3805.38,,Online,,75.35,12578.18,,,,,,70.47,
Cheese,Chandigarh,,95,,,12-02-2019,433,Kerala,6307,3,,,Britannia Industries,139,66.08,572.36,,14887.08,,,,,,,11188.72,,Retail,,26.01,14887.08,,,,,,25.84,
Lassi,Delhi,,31,,,12-02-2019,294,Chandigarh,6307,7,,,Amul,435,58.23,729.19,,56351.80,,,,,,,23252.46,,Wholesale,,77.28,56351.80,,,,,,79.09,
Curd,Tamil Nadu,,57,,,13-02-2019,287,Bihar,6177,6,,,Sudha,488,19.56,775.56,,70738.83,,,,,,,27138.72,,Retail,,91.21,70738.83,,,,,,94.56,
Butter,Madhya Pradesh,,89,,,13-02-2019,305,Karnataka,6177,2,,,Parag Milk Foods,441,34.35,746.15,,57804.24,,,,,,,23210.5,,Wholesale,,77.47,57804.24,,,,,,76.1,
Paneer,Rajasthan,,94,,,13-02-2019,292,Uttar Pradesh,6177,9,,,Raj,188,61.51,480.87,,33805.16,,,,,,,19841.4,,Wholesale,,70.3,33805.16,,,,,,67.95,
Buttermilk,Karnataka,,72,,,13-02-2019,44,Tamil Nadu,6177,8,,,Raj,750,14.76,794.42,,8317.58,,,,,,,559.24,,Wholesale,,10.47,8317.58,,,,,,12.71,
